11	255
0	3	0.30151134457776363
0	5	0.30151134457776363
0	10	0.30151134457776363
0	19	0.30151134457776363
0	64	0.30151134457776363
0	75	0.30151134457776363
0	90	0.30151134457776363
0	96	0.30151134457776363
0	110	0.30151134457776363
0	113	0.30151134457776363
0	122	0.30151134457776363
0	213	0.3779644730092272
0	214	0.3779644730092272
0	216	0.3779644730092272
0	217	0.3779644730092272
0	219	0.3779644730092272
0	220	0.3779644730092272
0	223	0.3779644730092272
1	0	0.2182178902359924
1	1	0.2182178902359924
1	3	0.2182178902359924
1	5	0.2182178902359924
1	9	0.2182178902359924
1	13	0.2182178902359924
1	19	0.2182178902359924
1	22	0.2182178902359924
1	25	0.2182178902359924
1	27	0.2182178902359924
1	31	0.2182178902359924
1	39	0.2182178902359924
1	42	0.2182178902359924
1	57	0.2182178902359924
1	71	0.2182178902359924
1	76	0.2182178902359924
1	89	0.2182178902359924
1	101	0.2182178902359924
1	112	0.2182178902359924
1	115	0.2182178902359924
1	116	0.2182178902359924
1	127	0.3779644730092272
1	128	0.3779644730092272
1	130	0.3779644730092272
1	131	0.3779644730092272
1	133	0.3779644730092272
1	134	0.3779644730092272
1	137	0.3779644730092272
1	214	0.31622776601683794
1	221	0.31622776601683794
1	222	0.31622776601683794
1	223	0.31622776601683794
1	224	0.31622776601683794
1	225	0.31622776601683794
1	226	0.31622776601683794
1	227	0.31622776601683794
1	228	0.31622776601683794
1	230	0.31622776601683794
2	0	0.3481553119113957
2	1	0.17407765595569785
2	2	0.17407765595569785
2	3	0.17407765595569785
2	4	0.17407765595569785
2	5	0.17407765595569785
2	6	0.17407765595569785
2	7	0.17407765595569785
2	8	0.17407765595569785
2	9	0.17407765595569785
2	17	0.17407765595569785
2	18	0.17407765595569785
2	20	0.17407765595569785
2	21	0.17407765595569785
2	22	0.17407765595569785
2	23	0.17407765595569785
2	37	0.17407765595569785
2	38	0.17407765595569785
2	40	0.17407765595569785
2	47	0.17407765595569785
2	48	0.17407765595569785
2	58	0.17407765595569785
2	65	0.17407765595569785
2	67	0.17407765595569785
2	69	0.17407765595569785
2	74	0.17407765595569785
2	83	0.17407765595569785
2	91	0.17407765595569785
2	92	0.17407765595569785
2	100	0.17407765595569785
2	128	0.31622776601683794
2	135	0.31622776601683794
2	136	0.31622776601683794
2	137	0.31622776601683794
2	138	0.31622776601683794
2	139	0.31622776601683794
2	140	0.31622776601683794
2	141	0.31622776601683794
2	142	0.31622776601683794
2	144	0.31622776601683794
2	170	0.3779644730092272
2	171	0.3779644730092272
2	173	0.3779644730092272
2	174	0.3779644730092272
2	176	0.3779644730092272
2	177	0.3779644730092272
2	180	0.3779644730092272
2	217	0.30151134457776363
2	233	0.30151134457776363
2	234	0.6030226891555273
2	235	0.30151134457776363
2	237	0.30151134457776363
2	239	0.30151134457776363
2	241	0.30151134457776363
2	243	0.30151134457776363
3	1	0.2182178902359924
3	3	0.2182178902359924
3	5	0.2182178902359924
3	7	0.2182178902359924
3	14	0.2182178902359924
3	19	0.2182178902359924
3	22	0.2182178902359924
3	25	0.2182178902359924
3	27	0.2182178902359924
3	31	0.2182178902359924
3	37	0.2182178902359924
3	38	0.2182178902359924
3	39	0.2182178902359924
3	40	0.2182178902359924
3	47	0.2182178902359924
3	48	0.2182178902359924
3	54	0.2182178902359924
3	57	0.2182178902359924
3	58	0.2182178902359924
3	65	0.2182178902359924
3	67	0.2182178902359924
3	127	0.3779644730092272
3	128	0.3779644730092272
3	130	0.3779644730092272
3	131	0.3779644730092272
3	133	0.3779644730092272
3	134	0.3779644730092272
3	137	0.3779644730092272
3	217	0.30151134457776363
3	233	0.30151134457776363
3	234	0.6030226891555273
3	235	0.30151134457776363
3	237	0.30151134457776363
3	239	0.30151134457776363
3	241	0.30151134457776363
3	243	0.30151134457776363
4	0	0.17407765595569785
4	1	0.17407765595569785
4	2	0.17407765595569785
4	3	0.17407765595569785
4	4	0.17407765595569785
4	9	0.17407765595569785
4	13	0.17407765595569785
4	14	0.17407765595569785
4	17	0.17407765595569785
4	18	0.17407765595569785
4	20	0.17407765595569785
4	21	0.17407765595569785
4	23	0.17407765595569785
4	33	0.17407765595569785
4	44	0.17407765595569785
4	46	0.17407765595569785
4	49	0.17407765595569785
4	52	0.17407765595569785
4	59	0.3481553119113957
4	60	0.17407765595569785
4	61	0.17407765595569785
4	70	0.17407765595569785
4	79	0.17407765595569785
4	82	0.17407765595569785
4	94	0.17407765595569785
4	102	0.17407765595569785
4	108	0.17407765595569785
4	109	0.17407765595569785
4	120	0.17407765595569785
4	125	0.17407765595569785
4	131	0.30151134457776363
4	147	0.30151134457776363
4	148	0.6030226891555273
4	149	0.30151134457776363
4	151	0.30151134457776363
4	153	0.30151134457776363
4	155	0.30151134457776363
4	157	0.30151134457776363
4	170	0.3779644730092272
4	171	0.3779644730092272
4	173	0.3779644730092272
4	174	0.3779644730092272
4	176	0.3779644730092272
4	177	0.3779644730092272
4	180	0.3779644730092272
4	245	0.5773502691896258
4	246	0.5773502691896258
4	247	0.5773502691896258
5	0	0.3380617018914066
5	2	0.1690308509457033
5	3	0.1690308509457033
5	4	0.1690308509457033
5	5	0.1690308509457033
5	6	0.1690308509457033
5	8	0.1690308509457033
5	9	0.1690308509457033
5	13	0.1690308509457033
5	24	0.3380617018914066
5	28	0.1690308509457033
5	29	0.1690308509457033
5	30	0.1690308509457033
5	35	0.1690308509457033
5	45	0.1690308509457033
5	53	0.1690308509457033
5	56	0.1690308509457033
5	63	0.1690308509457033
5	64	0.1690308509457033
5	66	0.1690308509457033
5	68	0.1690308509457033
5	78	0.1690308509457033
5	81	0.1690308509457033
5	84	0.1690308509457033
5	86	0.1690308509457033
5	88	0.1690308509457033
5	104	0.1690308509457033
5	107	0.1690308509457033
5	123	0.1690308509457033
5	159	0.5773502691896258
5	160	0.5773502691896258
5	161	0.5773502691896258
5	174	0.30151134457776363
5	190	0.30151134457776363
5	191	0.6030226891555273
5	192	0.30151134457776363
5	194	0.30151134457776363
5	196	0.30151134457776363
5	198	0.30151134457776363
5	200	0.30151134457776363
5	220	0.5773502691896258
5	241	0.5773502691896258
5	249	0.5773502691896258
6	0	0.3380617018914066
6	1	0.1690308509457033
6	2	0.1690308509457033
6	3	0.1690308509457033
6	5	0.1690308509457033
6	6	0.1690308509457033
6	8	0.1690308509457033
6	9	0.1690308509457033
6	13	0.1690308509457033
6	15	0.3380617018914066
6	26	0.1690308509457033
6	32	0.1690308509457033
6	34	0.1690308509457033
6	36	0.1690308509457033
6	41	0.1690308509457033
6	42	0.1690308509457033
6	43	0.1690308509457033
6	50	0.1690308509457033
6	51	0.1690308509457033
6	55	0.1690308509457033
6	62	0.1690308509457033
6	71	0.1690308509457033
6	73	0.1690308509457033
6	77	0.1690308509457033
6	93	0.1690308509457033
6	95	0.1690308509457033
6	105	0.1690308509457033
6	114	0.1690308509457033
6	119	0.1690308509457033
6	134	0.5773502691896258
6	155	0.5773502691896258
6	163	0.5773502691896258
6	202	0.5773502691896258
6	203	0.5773502691896258
6	204	0.5773502691896258
6	250	0.5773502691896258
6	251	0.5773502691896258
6	252	0.5773502691896258
7	0	0.3922322702763681
7	1	0.19611613513818404
7	2	0.19611613513818404
7	4	0.19611613513818404
7	6	0.19611613513818404
7	7	0.19611613513818404
7	8	0.19611613513818404
7	9	0.19611613513818404
7	10	0.19611613513818404
7	11	0.19611613513818404
7	12	0.19611613513818404
7	16	0.19611613513818404
7	69	0.19611613513818404
7	72	0.19611613513818404
7	87	0.19611613513818404
7	98	0.19611613513818404
7	99	0.19611613513818404
7	103	0.19611613513818404
7	106	0.19611613513818404
7	111	0.19611613513818404
7	117	0.19611613513818404
7	121	0.19611613513818404
7	124	0.19611613513818404
7	164	0.5773502691896258
7	165	0.5773502691896258
7	166	0.5773502691896258
7	177	0.5773502691896258
7	198	0.5773502691896258
7	206	0.5773502691896258
8	0	0.19611613513818404
8	1	0.19611613513818404
8	2	0.19611613513818404
8	6	0.19611613513818404
8	7	0.19611613513818404
8	8	0.19611613513818404
8	10	0.19611613513818404
8	11	0.19611613513818404
8	12	0.19611613513818404
8	14	0.19611613513818404
8	15	0.3922322702763681
8	16	0.19611613513818404
8	26	0.19611613513818404
8	32	0.19611613513818404
8	34	0.19611613513818404
8	36	0.19611613513818404
8	41	0.19611613513818404
8	43	0.19611613513818404
8	50	0.19611613513818404
8	51	0.19611613513818404
8	54	0.19611613513818404
8	55	0.19611613513818404
8	62	0.19611613513818404
8	164	0.5773502691896258
8	165	0.5773502691896258
8	166	0.5773502691896258
8	202	0.5773502691896258
8	203	0.5773502691896258
8	204	0.5773502691896258
9	0	0.20412414523193154
9	1	0.20412414523193154
9	2	0.20412414523193154
9	4	0.20412414523193154
9	6	0.20412414523193154
9	7	0.20412414523193154
9	8	0.20412414523193154
9	10	0.20412414523193154
9	11	0.20412414523193154
9	12	0.20412414523193154
9	16	0.20412414523193154
9	24	0.20412414523193154
9	28	0.20412414523193154
9	29	0.20412414523193154
9	30	0.20412414523193154
9	35	0.20412414523193154
9	45	0.20412414523193154
9	53	0.20412414523193154
9	56	0.20412414523193154
9	63	0.20412414523193154
9	66	0.20412414523193154
9	68	0.20412414523193154
9	80	0.20412414523193154
9	85	0.20412414523193154
9	159	0.5773502691896258
9	160	0.5773502691896258
9	161	0.5773502691896258
9	174	0.30151134457776363
9	190	0.30151134457776363
9	191	0.6030226891555273
9	192	0.30151134457776363
9	194	0.30151134457776363
9	196	0.30151134457776363
9	198	0.30151134457776363
9	200	0.30151134457776363
10	1	0.20412414523193154
10	2	0.20412414523193154
10	4	0.20412414523193154
10	7	0.20412414523193154
10	10	0.20412414523193154
10	11	0.20412414523193154
10	12	0.20412414523193154
10	14	0.20412414523193154
10	16	0.20412414523193154
10	17	0.20412414523193154
10	18	0.20412414523193154
10	20	0.20412414523193154
10	21	0.20412414523193154
10	23	0.20412414523193154
10	33	0.20412414523193154
10	44	0.20412414523193154
10	46	0.20412414523193154
10	49	0.20412414523193154
10	52	0.20412414523193154
10	60	0.20412414523193154
10	61	0.20412414523193154
10	70	0.20412414523193154
10	97	0.20412414523193154
10	118	0.20412414523193154
10	131	0.30151134457776363
10	147	0.30151134457776363
10	148	0.6030226891555273
10	149	0.30151134457776363
10	151	0.30151134457776363
10	153	0.30151134457776363
10	155	0.30151134457776363
10	157	0.30151134457776363
10	170	0.3779644730092272
10	171	0.3779644730092272
10	173	0.3779644730092272
10	174	0.3779644730092272
10	176	0.3779644730092272
10	177	0.3779644730092272
10	180	0.3779644730092272
